kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,294,DIA,2025-12-16,479.67,73.99,2025-12-09,473.35,17.51,17.74,467.6,449.85,1.28,5,rotation (out of top-N),2025-12-08,480.61,0.8,2.08,1.5,4.7,10.41,0.43,161,2025-12-15,477.44,0.9,1.85,1.5,4.6,9.23,0.65,168
SELL,295,IJR,2025-12-23,122.45,292.16,2025-12-09,119.87,17.51,17.89,753.78,735.9,2.1,10,rotation (out of top-N),2025-12-08,122.98,1.1,2.35,1.4,4.4,11.76,0.69,119,2025-12-22,122.57,0.9,2.09,1.5,4.5,10.44,0.62,133
SELL,296,XLY,2025-12-23,121.78,293.59,2025-12-16,120.94,17.75,17.88,246.61,228.74,0.64,5,rotation (out of top-N),2025-12-15,121.12,1.2,2.05,1.5,4.3,10.24,1.05,168,2025-12-22,121.56,1.0,2.01,1.5,4.5,10.03,0.7,175
SELL,297,VTI,2026-01-06,336.96,106.68,2025-12-23,334.98,17.87,17.97,211.24,193.26,0.54,8,rotation (out of top-N),2025-12-22,337.64,0.8,2.13,1.5,4.6,10.63,0.47,189,2026-01-05,340.35,1.0,2.01,1.5,4.5,10.07,0.69,203
SELL,298,SPY,2025-12-30,683.78,52.53,2025-12-23,680.27,17.87,17.96,184.39,166.43,0.47,4,rotation (out of top-N),2025-12-22,686.63,0.7,2.14,1.5,4.7,10.69,0.31,196,2025-12-29,679.53,0.7,1.79,1.6,4.9,8.97,0.33,203
SELL,299,EFA,2026-01-06,96.78,377.64,2025-12-30,95.12,17.96,18.27,626.89,608.62,1.69,4,rotation (out of top-N),2025-12-29,95.53,0.7,1.88,1.5,4.9,9.41,0.28,322,2026-01-05,97.27,0.8,2.12,1.5,4.6,10.58,0.44,329
SELL,300,XLY,2026-01-13,124.03,202.84,2026-01-06,119.05,12.07,12.58,1010.12,997.54,4.13,5,rotation (out of top-N),2026-01-05,123.91,1.3,2.16,1.5,4.1,10.81,1.17,189,2026-01-12,121.81,0.9,1.65,1.6,4.7,8.26,0.73,196
SELL,301,DIA,2026-01-13,491.73,49.73,2026-01-06,485.56,12.07,12.23,306.84,294.61,1.22,5,rotation (out of top-N),2026-01-05,491.2,1.0,2.15,1.5,4.5,10.74,0.7,189,2026-01-12,489.79,0.8,1.97,1.5,4.7,9.83,0.48,196
SELL,302,IJR,2026-02-24,128.55,197.57,2026-01-06,122.22,12.07,12.7,1250.64,1237.95,5.13,33,rotation (out of top-N),2026-01-05,125.84,1.3,2.42,1.4,4.1,12.09,1.01,147,2026-02-23,129.11,1.4,2.0,1.5,4.1,9.98,1.33,196
SELL,303,XLE,2026-06-16,54.61,419.83,2026-01-13,46.09,9.68,11.46,3576.97,3565.5,18.43,106,rotation (out of top-N),2026-01-12,47.04,1.2,2.11,1.5,4.3,10.55,0.99,140,2026-06-15,53.39,1.5,1.12,1.7,4.2,5.62,1.79,294
SELL,304,EFA,2026-03-03,97.11,198.1,2026-01-13,97.68,9.68,9.62,-112.91,-122.53,-0.63,33,rotation (out of top-N),2026-01-12,97.98,0.7,2.13,1.5,4.7,10.67,0.29,336,2026-03-02,96.75,0.9,1.06,1.7,4.8,5.31,0.98,385
SELL,305,XLI,2026-04-21,173.1,118.7,2026-01-13,163.02,9.68,10.27,1196.47,1186.2,6.13,67,rotation (out of top-N),2026-01-12,166.02,1.1,2.44,1.4,4.3,12.21,0.72,238,2026-04-20,172.05,1.1,1.76,1.6,4.5,8.8,0.98,336
SELL,306,IJH,2026-01-27,69.36,280.27,2026-01-13,69.04,9.68,9.72,89.69,79.97,0.41,9,rotation (out of top-N),2026-01-12,69.72,1.0,2.14,1.5,4.5,10.7,0.67,182,2026-01-26,68.34,0.7,1.46,1.6,4.9,7.32,0.56,196
